number_of_siblings,direct_admission_1,direct_admission_2,CCA_1,CCA_2,CCA_3,CCA_4,learning_style_1,learning_style_2,gender_1,gender_2,tuition_1,tuition_2,final_test,n_male,n_female,age,hours_per_week,attendance_rate,mode_of_transport_1,mode_of_transport_2,mode_of_transport_3,sleep_time_hour,sleep_time_minute,wake_time_hour,wake_time_minute,sleep_duration
-1.1826664415927255,1,0,1,0,0,0,1,0,1,0,1,0,0.1302049573646414,0.021574917932205617,-1.0393025022944604,0.9715315843124814,-0.0716449658150653,-1.395060165663972,1,0,0,22,0,6,0,480
1.479388376001846,0,1,1,0,0,0,0,1,1,0,1,0,-1.4689962471246432,-1.5050093873690154,1.5128299809353511,0.9715315843124814,-0.7438994962620664,-0.3373387145406252,1,0,0,22,30,6,30,480
-1.1826664415927255,1,0,0,1,0,0,1,0,0,1,1,0,1.2932603788113939,0.021574917932205617,-1.0393025022944604,-1.0293026147036326,-0.5198146527797327,-1.0424863486228564,1,0,0,22,30,6,30,480
0.1483609672045603,0,1,0,0,1,0,0,1,1,0,0,1,-0.23324986183746874,-1.8103262484292595,1.6629554211253401,-1.0293026147036326,1.7210337820436044,0.01523510250049043,0,1,0,21,0,5,0,480
-1.1826664415927255,0,1,1,0,0,0,0,1,0,1,1,0,-0.08786793415662468,1.5481592232334265,-0.8891770621044716,0.9715315843124814,-0.7438994962620664,0.01523510250049043,0,1,0,21,30,5,30,480
-1.1826664415927255,0,1,0,0,0,1,1,0,1,0,1,0,-0.742086608720423,-0.7417172347184049,0.4619518996054287,-1.0293026147036326,0.1524398776672684,0.36780891954160605,1,0,0,22,30,6,30,480
1.479388376001846,1,0,0,1,0,0,1,0,0,1,1,0,0.1302049573646414,-0.2837419431280386,-0.8891770621044716,0.9715315843124814,1.0487792515966032,-0.6899125315817408,0,1,0,21,30,5,30,480
-1.1826664415927255,0,1,1,0,0,0,1,0,0,1,1,0,0.6390417042475957,0.9375255011129382,-1.0393025022944604,-1.0293026147036326,-1.6402388701914012,0.7203827365827217,0,1,0,21,0,5,0,480
-1.1826664415927255,0,1,0,0,0,1,0,1,0,1,1,0,-0.742086608720423,0.9375255011129382,-0.28867530134451586,-1.0293026147036326,1.0487792515966032,1.0729565536238372,1,0,0,22,0,6,0,480
1.479388376001846,0,1,0,0,0,1,0,1,0,1,0,1,-0.5240137171991569,-0.13108351259791648,0.011575579035461954,0.9715315843124814,1.272864095078937,0.01523510250049043,1,0,0,22,30,6,30,480
1.479388376001846,1,0,0,0,0,1,1,0,1,0,1,0,0.3482778488859075,0.9375255011129382,-1.3395533826744384,0.9715315843124814,-0.0716449658150653,-1.0424863486228564,0,1,0,21,30,5,30,480
1.479388376001846,0,1,1,0,0,0,0,1,1,0,1,0,-1.105541427922533,0.17423334846232771,-0.28867530134451586,0.9715315843124814,0.1524398776672684,-1.395060165663972,0,1,0,21,0,5,0,480
-1.1826664415927255,0,1,1,0,0,0,1,0,0,1,0,1,1.2932603788113939,0.021574917932205617,-0.7390516219144826,0.9715315843124814,-0.5198146527797327,0.01523510250049043,0,0,1,23,0,7,0,480
1.479388376001846,0,1,1,0,0,0,1,0,0,1,0,1,1.1478784511305498,0.4795502095225719,-1.3395533826744384,0.9715315843124814,-0.9679843397444001,-1.7476339827050877,1,0,0,22,30,6,30,480
-1.1826664415927255,1,0,0,0,0,1,0,1,1,0,0,1,0.5663507404071736,0.021574917932205617,-1.0393025022944604,-1.0293026147036326,1.0487792515966032,1.0729565536238372,1,0,0,22,30,6,30,480
-1.1826664415927255,0,1,0,0,1,0,0,1,0,1,1,0,-0.30594082567789077,0.4795502095225719,-0.7390516219144826,-1.0293026147036326,-0.295729809297399,1.7781041877060686,1,0,0,22,30,6,30,480
1.479388376001846,0,1,0,0,1,0,0,1,1,0,1,0,-1.8324510663267535,-1.3523509568388932,1.5128299809353511,-1.0293026147036326,0.6006095646319358,0.36780891954160605,0,1,0,21,30,5,30,480
0.1483609672045603,0,1,0,1,0,0,0,1,1,0,0,1,0.20289592120506345,1.8534760842936708,-1.0393025022944604,-1.0293026147036326,-0.0716449658150653,1.7781041877060686,1,0,0,22,30,6,30,480
0.1483609672045603,0,1,0,0,1,0,0,1,0,1,0,1,-0.814777572560845,-0.43640037365816065,0.6120773397954177,-1.0293026147036326,-1.1920691832267338,-0.6899125315817408,0,0,1,23,0,7,0,480
0.1483609672045603,0,1,0,0,0,1,1,0,0,1,0,1,0.8571145957688617,1.7008176537635487,-1.3395533826744384,-1.0293026147036326,-0.5198146527797327,0.36780891954160605,1,0,0,22,0,6,0,480
0.1483609672045603,0,1,0,0,0,1,1,0,1,0,0,1,-0.5967046810395789,-1.9629846789593817,2.713833502455263,-1.0293026147036326,-0.295729809297399,-1.0424863486228564,1,0,0,23,30,6,30,420
-1.1826664415927255,0,1,0,1,0,0,1,0,0,1,0,1,1.365951342651816,0.4795502095225719,-0.4388007415345048,0.9715315843124814,-0.5198146527797327,-1.395060165663972,1,0,0,23,30,6,30,420
-1.1826664415927255,1,0,0,0,1,0,1,0,1,0,1,0,0.1302049573646414,0.4795502095225719,-1.0393025022944604,-1.0293026147036326,0.3765247211496021,0.01523510250049043,0,0,1,23,0,7,0,480
-1.1826664415927255,0,1,0,0,1,0,0,1,0,1,0,1,2.020170017215614,-0.2837419431280386,0.6120773397954177,-1.0293026147036326,-0.295729809297399,0.7203827365827217,1,0,0,22,0,6,0,480
-1.1826664415927255,0,1,0,0,0,1,1,0,0,1,1,0,0.7117326680880177,1.3955007927033045,-0.7390516219144826,-1.0293026147036326,-0.9679843397444001,-0.6899125315817408,0,1,0,21,0,5,0,480
0.1483609672045603,0,1,0,0,1,0,0,1,1,0,1,0,-0.9601595002416891,0.9375255011129382,-0.5889261817244937,-1.0293026147036326,1.7210337820436044,0.01523510250049043,0,0,1,23,0,7,0,480
1.479388376001846,1,0,0,0,0,1,1,0,1,0,1,0,0.4936597765667516,-1.1996925263087712,0.011575579035461954,-1.0293026147036326,0.1524398776672684,0.36780891954160605,0,1,0,21,30,5,30,480
1.479388376001846,0,1,0,0,1,0,0,1,1,0,1,0,-2.0505239578480197,0.17423334846232771,0.011575579035461954,0.9715315843124814,0.3765247211496021,0.01523510250049043,0,1,0,22,0,5,0,420
0.1483609672045603,0,1,0,0,0,1,1,0,0,1,0,1,0.20289592120506345,-0.5890588041882827,0.7622027799854065,0.9715315843124814,1.4969489385612706,0.01523510250049043,0,1,0,21,0,5,0,480
0.1483609672045603,1,0,0,1,0,0,0,1,0,1,0,1,1.51133327033266,0.4795502095225719,-1.3395533826744384,-1.0293026147036326,-0.9679843397444001,-0.3373387145406252,0,1,0,21,0,5,0,480
1.479388376001846,0,1,1,0,0,0,1,0,0,1,0,1,0.05751399352421938,0.9375255011129382,-1.0393025022944604,0.9715315843124814,0.8246944081142695,-1.395060165663972,0,1,0,21,0,5,0,480
1.479388376001846,0,1,0,1,0,0,1,0,1,0,0,1,0.1302049573646414,-1.6576678178991373,1.0624536603653845,-1.0293026147036326,0.8246944081142695,-1.0424863486228564,0,1,0,21,30,5,30,480
0.1483609672045603,0,1,0,0,1,0,1,0,1,0,1,0,0.7844236319284397,0.632208640052694,-0.28867530134451586,0.9715315843124814,-0.5198146527797327,1.0729565536238372,1,0,0,22,30,6,30,480
0.1483609672045603,0,1,0,0,0,1,1,0,0,1,0,1,-0.5240137171991569,0.3268917789924498,0.4619518996054287,0.9715315843124814,-0.295729809297399,-1.395060165663972,0,1,0,21,30,5,30,480
-1.1826664415927255,1,0,1,0,0,0,1,0,0,1,1,0,0.7844236319284397,-0.43640037365816065,0.011575579035461954,-1.0293026147036326,-1.1920691832267338,0.7203827365827217,0,1,0,21,30,5,30,480
0.1483609672045603,0,1,0,0,1,0,1,0,0,1,1,0,-0.08786793415662468,0.17423334846232771,-0.28867530134451586,0.9715315843124814,-0.7438994962620664,0.36780891954160605,0,1,0,21,30,5,30,480
